CompanyName, CompanyNumber,RegAddress.CareOf,RegAddress.POBox,RegAddress.AddressLine1, RegAddress.AddressLine2,RegAddress.PostTown,RegAddress.County,RegAddress.Country,RegAddress.PostCode,CompanyCategory,CompanyStatus,CountryOfOrigin,DissolutionDate,IncorporationDate,Accounts.AccountRefDay,Accounts.AccountRefMonth,Accounts.NextDueDate,Accounts.LastMadeUpDate,Accounts.AccountCategory,Returns.NextDueDate,Returns.LastMadeUpDate,Mortgages.NumMortCharges,Mortgages.NumMortOutstanding,Mortgages.NumMortPartSatisfied,Mortgages.NumMortSatisfied,SICCode.SicText_1,SICCode.SicText_2,SICCode.SicText_3,SICCode.SicText_4,LimitedPartnerships.NumGenPartners,LimitedPartnerships.NumLimPartners,URI,PreviousName_1.CONDATE, PreviousName_1.CompanyName, PreviousName_2.CONDATE, PreviousName_2.CompanyName,PreviousName_3.CONDATE, PreviousName_3.CompanyName,PreviousName_4.CONDATE, PreviousName_4.CompanyName,PreviousName_5.CONDATE, PreviousName_5.CompanyName,PreviousName_6.CONDATE, PreviousName_6.CompanyName,PreviousName_7.CONDATE, PreviousName_7.CompanyName,PreviousName_8.CONDATE, PreviousName_8.CompanyName,PreviousName_9.CONDATE, PreviousName_9.CompanyName,PreviousName_10.CONDATE, PreviousName_10.CompanyName,ConfStmtNextDueDate, ConfStmtLastMadeUpDate
THE SOCIAL EXCHANGE (TSE) UK LIMITED,15719103,,,424 MARGATE ROAD,,RAMSGATE,,ENGLAND,CT12 6SJ,Private Limited Company,Active,United Kingdom,,14/05/2024,31,5,28/02/2027,31/05/2025,TOTAL EXEMPTION FULL,11/06/2025,,0,0,0,0,"47990 - Other retail sale not in stores, stalls or markets",,,,0,0,http://business.data.gov.uk/id/company/15719103,,,,,,,,,,,,,,,,,,,,,27/05/2027,13/05/2026
THE SOCIAL EXPERTS LTD,16938925,,,77 KINSEY ROAD,,SMETHWICK,,ENGLAND,B66 4SL,Private Limited Company,Active,United Kingdom,,02/01/2026,31,1,02/10/2027,,NO ACCOUNTS FILED,30/01/2027,,0,0,0,0,73110 - Advertising agencies,,,,0,0,http://business.data.gov.uk/id/company/16938925,,,,,,,,,,,,,,,,,,,,,05/02/2027,22/01/2026
THE SOCIAL EYES (MCR) T/AS A TASTE OF HONEY DELICATESSEN LTD,10715277,,,138 BURTON ROAD,,MANCHESTER,,ENGLAND,M20 1JQ,Private Limited Company,Liquidation,United Kingdom,,07/04/2017,30,4,31/01/2025,30/04/2023,UNAUDITED ABRIDGED,05/05/2018,,1,0,0,1,96090 - Other service activities n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/10715277,07/01/2019,THE SOCIAL EYES (MCR) LIMITED,,,,,,,,,,,,,,,,,,,08/03/2025,22/02/2024
THE SOCIAL FABRIK LTD,17167955,,,63 KINGSWAY,,MANCHESTER,,ENGLAND,M19 2LL,Private Limited Company,Active,United Kingdom,,20/04/2026,30,4,20/01/2028,,NO ACCOUNTS FILED,18/05/2027,,0,0,0,0,46420 - Wholesale of clothing and footwear,,,,0,0,http://business.data.gov.uk/id/company/17167955,,,,,,,,,,,,,,,,,,,,,03/05/2027,
THE SOCIAL FILTER CIC,17305442,,,123 STAR LANE,,LONDON,,UNITED KINGDOM,E16 4PZ,Community Interest Company,Active,United Kingdom,,29/06/2026,30,6,29/03/2028,,NO ACCOUNTS FILED,27/07/2027,,0,0,0,0,56102 - Unlicensed restaurants and cafes,56290 - Other food services,85590 - Other education n.e.c.,88990 - Other social work activities without accommodation n.e.c.,0,0,http://business.data.gov.uk/id/company/17305442,,,,,,,,,,,,,,,,,,,,,12/07/2027,
THE SOCIAL FIT CLUB LTD,17426363,,,UNIT 5,EGERTON STREET,MANCHESTER,GREATER MANCHESTER,ENGLAND,M43 7EL,Private Limited Company,Active,United Kingdom,,28/08/2026,31,8,28/05/2028,,NO ACCOUNTS FILED,25/09/2027,,0,0,0,0,93130 - Fitness facilities,,,,0,0,http://business.data.gov.uk/id/company/17426363,,,,,,,,,,,,,,,,,,,,,10/09/2027,
THE SOCIAL FOOTAGE LTD,17249367,,,"18, FIRST FLOOR FLAT",LANHILL ROAD,LONDON,,UNITED KINGDOM,W9 2BP,Private Limited Company,Active,United Kingdom,,29/05/2026,31,5,29/02/2028,,NO ACCOUNTS FILED,26/06/2027,,0,0,0,0,60200 - Television programming and broadcasting activities,,,,0,0,http://business.data.gov.uk/id/company/17249367,,,,,,,,,,,,,,,,,,,,,11/06/2027,
THE SOCIAL FUSE LTD,14397644,,,167-169 GREAT PORTLAND STREET,5TH FLOOR,LONDON,,ENGLAND,W1W 5PF,Private Limited Company,Active,United Kingdom,,04/10/2022,31,10,31/07/2027,31/10/2025,MICRO ENTITY,01/11/2023,,0,0,0,0,73110 - Advertising agencies,,,,0,0,http://business.data.gov.uk/id/company/14397644,,,,,,,,,,,,,,,,,,,,,17/10/2026,03/10/2025
THE SOCIAL GAMING GROUP LIMITED,10155657,,,ASHMOLE & CO THE OLD SCHOOL,THE QUAY,CARMARTHEN,,WALES,SA31 3LN,Private Limited Company,Active,United Kingdom,,29/04/2016,31,12,30/09/2026,31/12/2024,UNAUDITED ABRIDGED,27/05/2017,,0,0,0,0,47789 - Other retail sale of new goods in specialised stores (not commercial art galleries and opticians),,,,0,0,http://business.data.gov.uk/id/company/10155657,05/08/2022,EUROPEAN SHUFFLEBOARD UK LIMITED,,,,,,,,,,,,,,,,,,,12/05/2027,28/04/2026
THE SOCIAL GAP LIMITED,16481609,,,REGUS C/O GINGER BUCKS LTD,CENTRAL BOULEVARD,SOLIHULL,WEST MIDLANDS,ENGLAND,B90 8AG,Private Limited Company,Active,United Kingdom,,29/05/2025,31,5,28/02/2027,,NO ACCOUNTS FILED,26/06/2026,,0,0,0,0,73110 - Advertising agencies,,,,0,0,http://business.data.gov.uk/id/company/16481609,,,,,,,,,,,,,,,,,,,,,11/06/2027,28/05/2026
THE SOCIAL GARAGE PROJECT C.I.C.,SC878546,,,35 BILBY TERRACE,,IRVINE,,SCOTLAND,KA12 9DP,Community Interest Company,Active,United Kingdom,,10/02/2026,28,2,10/11/2027,,NO ACCOUNTS FILED,10/03/2027,,0,0,0,0,45200 - Maintenance and repair of motor vehicles,56290 - Other food services,85590 - Other education n.e.c.,94990 - Activities of other membership organizations n.e.c.,0,0,http://business.data.gov.uk/id/company/SC878546,,,,,,,,,,,,,,,,,,,,,23/02/2027,
THE SOCIAL GATHERING COMPANY LTD,16607910,,,76 BRANSBY ROAD,,CHESSINGTON,,ENGLAND,KT9 2LA,Private Limited Company,Active,United Kingdom,,25/07/2025,31,7,25/04/2027,,NO ACCOUNTS FILED,22/08/2026,,0,0,0,0,93290 - Other amusement and recreation activities n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/16607910,30/07/2025,WILDCARD WEEKENDS LTD,,,,,,,,,,,,,,,,,,,06/08/2027,23/07/2026
THE SOCIAL GENE LIMITED,11729867,,,15 ROWEN CLOSE,INGLEBY BARWICK,STOCKTON-ON-TEES,,ENGLAND,TS17 5DX,Private Limited Company,Active,United Kingdom,,17/12/2018,31,3,31/12/2026,31/03/2025,MICRO ENTITY,14/01/2020,,0,0,0,0,62090 - Other information technology service activities,,,,0,0,http://business.data.gov.uk/id/company/11729867,,,,,,,,,,,,,,,,,,,,,23/12/2026,09/12/2025
THE SOCIAL GIRAFFE LTD,15812967,,,21 HOLCROFT DRIVE,CUDDINGTON,NORTHWICH,,ENGLAND,CW8 2BS,Private Limited Company,Active,United Kingdom,,01/07/2024,31,7,30/04/2027,31/07/2025,TOTAL EXEMPTION FULL,29/07/2025,,0,0,0,0,62020 - Information technology consultancy activities,,,,0,0,http://business.data.gov.uk/id/company/15812967,,,,,,,,,,,,,,,,,,,,,14/07/2027,30/06/2026
THE SOCIAL GIRL LTD,11215510,,4385,11215510 - COMPANIES HOUSE DEFAULT ADDRESS,,CARDIFF,,,CF14 8LH,Private Limited Company,Active - Proposal to Strike off,United Kingdom,,20/02/2018,30,7,30/04/2027,31/07/2025,MICRO ENTITY,20/03/2019,,0,0,0,0,82990 - Other business support service activities n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/11215510,07/06/2021,ST. LUCIA BAY LTD,,,,,,,,,,,,,,,,,,,05/03/2027,19/02/2026
THE SOCIAL GLOBE LTD,13923693,,,"2ND FLOOR, 112 HIGH ROAD",HIGH ROAD,ILFORD,,ENGLAND,IG1 1BY,Private Limited Company,Active,United Kingdom,,17/02/2022,28,2,30/11/2027,28/02/2026,MICRO ENTITY,17/03/2023,,0,0,0,0,73110 - Advertising agencies,,,,0,0,http://business.data.gov.uk/id/company/13923693,,,,,,,,,,,,,,,,,,,,,02/03/2027,16/02/2026
THE SOCIAL GOLFER LIMITED,07304225,,,NO.3 CLIVEDEN HOUSE,87 WARLEY HILL WARLEY,BRENTWOOD,ESSEX,,CM14 5HN,Private Limited Company,Active,United Kingdom,,05/07/2010,31,7,30/04/2027,31/07/2025,TOTAL EXEMPTION FULL,02/08/2016,05/07/2015,0,0,0,0,93120 - Activities of sport clubs,,,,0,0,http://business.data.gov.uk/id/company/07304225,14/07/2015,MC2 MARKETING LTD,,,,,,,,,,,,,,,,,,,29/01/2027,15/01/2026
THE SOCIAL GOOD NETWORK LTD,12594001,,,55 MITCHELL AVENUE,,VENTNOR,,ENGLAND,PO38 1DR,Private Limited Company,Active,United Kingdom,,11/05/2020,31,5,28/02/2027,31/05/2025,MICRO ENTITY,08/06/2021,,0,0,0,0,68100 - Buying and selling of own real estate,68209 - Other letting and operating of own or leased real estate,70210 - Public relations and communications activities,70229 - Management consultancy activities other than financial management,0,0,http://business.data.gov.uk/id/company/12594001,,,,,,,,,,,,,,,,,,,,,15/12/2026,01/12/2025
